	inputs	outputs	ParaScore	ROUGE	ROUGEp	BERTScore
0	Torek, 29. 3. 2011, ob 15.00 uri Državni svet RS, Šubičeva 4, soba 209/II, Ljubljana 44. SEJA KOMISIJE DS ZA GOSPODARSTVO, OBRT, TURIZEM IN FINANCE Predsednik računskega sodišča dr. Igor Šoltes se bo udeležil seje Komisije, na kateri bodo člani obravnavali Letno poročilo Računskega sodišča RS za leto ...	Torek, 29. marec 2011, ob 15.00 uri bo Državni svet Republike Slovenije, Šubičeva 4, soba 209 / II, Ljubljana 44. SEJA KOMISIJE DS za gospodarstvo, varstvo, turizem in finance Predsednik računskega sodišča dr. Igor Šoltes se bo udeležil seje Komisije, na kateri bodo člani obravnavali letno poročilo Računskega sodišča Republike Slovenije za leto...	0.8262737438759744	0.9075630252100839	0.7516413465942512	0.86761636
1	Računsko sodišče RS in Mestna občina Celje prirejata regijski posvet z župani občin, direktorji občinskih uprav, oziroma pristojnimi za področje financ v občinah celjske regije. Posvet je namenjen izmenjavi mnenj, stališč in vprašanj, povezanih z razpolaganjem z javnimi financami v občinah. Posvet bo ...	Računsko sodišče Republike Slovenije in Mestna občina Celje organizirata regijski posvet z župani občin, direktorji občinskih uprav ali pristojnimi za področje financ v občinah celjske regije. Posvet je namenjen izmenjavi mnenj, stališč in vprašanj, povezanih z razpolaganjem z javnimi financami v občinah.	0.7332983037002949	0.9126213592233009	0.8521573584450778	0.94968486
2	Računsko sodišče je o pravilnosti poslovanja v letu 2009 zavodu izreklo mnenje s pridržkom , ker je ugotovilo, da zavod ni posloval v skladu s predpisi o javnem naročanju pri oddaji javnih naročil za letalske prevoze in nastanitvene aranžmaje ter za nadgradnjo procesorja in diskovnih enot v skupnem znesku 1.328.602 evrov.	Računsko sodišče je v letu 2009 zavodu izreklo mnenje s pridržkom, saj je ugotovilo, da zavod ni ravnal v skladu s predpisi o javnem naročanju pri oddaji javnih naročil za letalske prevoze in nastanitvene aranžmaje ter za nadgradnjo procesorja in diskovnih enot v skupnem znesku 1.328.602 EUR.	0.6760112252292355	0.920353982300885	0.827506420476642	0.93717885
3	Računsko sodišče je zavodu priporočilo, naj skupaj z ostalimi partnerji pristopi k aktivnostim za določitev standardne cene vsaj najpogostejših in najdražjih bolnišničnih obravnav ter drugih pomembnejših zdravstvenih storitev, kar bo dalo realnejša izhodišča za določitev višine uteži in cen posameznih skupin primerljivih primerov in stroškovnih cen drugih zdravstvenih storitev, in naj skupaj z Ministrstvom za zdravje prouči možnosti za spremembo obstoječe pravne ureditve glede pooblastil zavoda za pridobivanje podatkov, potrebnih za vzpostavitev take podatkovne baze o posameznih bolnišničnih obravnavah, ki bo omogočila izvajanje nadzora nad evidentiranjem in obračunavanjem skupin primerljivih primerov v večjem obsegu.	Računsko sodišče je zavodu priporočila, naj skupaj z drugimi partnerji pristopi k aktivnostim za določitev standardne cene vsaj najpogostejših in najdražjih bolnišničnih obravnav in drugih pomembnih zdravstvenih storitev, kar bo dalo realnejša izhodišča za določitev višine uteži in cen posameznih skupin primerljivih primerov in stroškovnih cen drugih zdravstvenih storitev, skupaj z Ministrstvom za zdravje pa naj preuči možnosti za spremembo obstoječe pravne ureditve glede pooblastil zavoda za pridobivanje podatkov, potrebnih za vzpostavitev takšne podatkovne baze o posameznih bolnišničnih obravnavah, ki bo omogočila izvajanje nadzora nad evidentiranjem in obračunavanjem skupin primerljivih primerov v večjem obsegu.	0.5469308421264629	0.9230769230769231	0.8308794906884385	0.9700002
4	Storitev Si.mail je v preizkusnem obdobju (beta različica), zato vas v primeru morebitnih napak, prosimo da jih sporočite v naš klicni center na brezplačno številko 080 40 40 40 .	Storitev Si.mail je v preizkusnem obdobju (beta različica), zato vas prosimo, da jih pošljete v naš klicni center na brezplačno številko 080 40 40 40	0.785774940694701	0.8709677419354839	0.8709677419353947	0.8979058
5	Nokia E7 s prednaloženo storitvijo Microsoft Exchange ActiveSync zagotavlja neposreden, takojšen in varen dostop do korporativnih spletnih poštnih nabiralnikov in drugih osebnih aplikacij. Nokia E7 se lahko pohvali z 10,2-centimetrskim zaslonom na dotik z Nokia ClearBlack tehnologijo za izboljšano vidljivost v zunanjih okoljih in polno tipkovnico. Poslovnim uporabnikom tako ponuja popolno obliko in velikost za delo na dokumentih in preglednicah ter branje in urejanje fotografij. Za brezskrbno poslovanje je na voljo tudi kombinacija varnostnih rešitev na poslovni ravni.	Nokia E7 s predplačno storitvijo Microsoft Exchange ActiveSync zagotavlja neposreden, takojšen in varen dostop do korporativnih spletnih poštnih nabiralnikov in drugih osebnih aplikacij. Nokia E7 se ponaša z 10,2-centimetrskim zaslonom na dotik z Nokia ClearBlack tehnologijo za izboljšano vidljivost v zunanjih okoljih in polno tipkovnico. Poslovnim uporabnikom ponuja popolno obliko in velikost za delo na dokumentih in preglednicah ter branje in urejanje fotografij. Za brezskrbno poslovanje je na voljo tudi kombinacija varnostnih rešitev na poslovni ravni.	0.5411838980935375	0.9467455621301775	0.6668433297942459	0.97410315
6	Sedemnajstega marca sta se v Kraljevcu ob Sotli sestala generalni direktor Slovenskih železnic Goran Brankovič in predsednik uprave Hrvaških železnic Zlatko Rogožar s sodelavci. Tema sestanka je bila ponovna uvedba železniškega prometa med obema državama na progi Imeno-Kumrovec-Savski Marof. Sestanka so se udeležili tudi župani obmejnih občin z obeh strani meje ter podpredsednik hrvaškega sabora Ivan Jarnjak .	Sedemnajstega marca sta se v Kraljevcu ob Sotli sestala generalni direktor Slovenskih železnic Goran Brankovič in predsednik uprave Hrvaških železnic Zlatko Rogožar s sodelavci. Tema sestanka je bila ponovna uvedba železniškega prometa med obema državama na progi Imeno-Kumrovec-Savski Marof. Sestanka so se udeležili tudi župani obmejnih občin z obeh strani meje in podpredsednik hrvaškega sabora Ivan Jarnjak.	0.5167823957349552	0.9848484848484849	0.23909624310753347	0.99810374
7	Potem ko je bila v četrtek, 24. februarja, z brežine nad Ljubljanico dvignjena še lokomotiva, se je v sredo, 2. marca, končalo čiščenje ostankov starega železa in delov lokomotive z brežine nad reko. Za dostop do nabrežja so uredili cesto, ekološka sanacija pa se je začela v petek, 4. marca. Potekala je ves konec tedna in je bila danes končana.	Potem ko je bila v četrtek, 24. februarja, z brežine nad Ljubljanico dvignjena lokomotiva, se je v sredo, 2. marca, končalo čiščenje ostankov starega železa in delov lokomotive z brežine nad reko. Za dostop do brežine je bila urejena cesta, ekološka sanacija pa se je začela v petek, 4. marca. Potekala je ves konec tedna in je bila danes končana.	0.5723124404363841	0.9117647058823528	0.8549938918337602	0.9667134
8	V petek, 4. marca, so gasilci Gasilske brigade Ljubljana še preverili madež, ki se je pojavil na obrežju Save. Ugotovili so, da gre za odmrle alge, in ne za naftni madež.	V petek, 4. marca, so gasilci Gasilske brigade Ljubljana še enkrat preverili madež, ki se je pojavil na obrežju Save, in ugotovili, da gre za odmrle alge, in ne za naftni madež.	0.6177827080860554	0.9538461538461539	0.5807969096745207	0.95434445
9	Luko Koper in Slovenske železnice povezujejo skupni trgi in stranke ter skupni poslovni izzivi. V prometu z Luko Koper Slovenske železnice opravijo 55 odstotkov prevozov oziroma prepeljejo dve tretjini vsega tovora, ki izvira iz koprskega pristanišča ali je namenjen vanj.	Luka Koper in Slovenske železnice povezujeta skupne trge in stranke ter skupni poslovni izzivi. V prometu z Luko Koper Slovenske železnice opravijo 55 odstotkov prevozov oziroma prevozijo dve tretjini vsega tovora, ki izvira iz koprskega pristanišča ali je namenjen vanj.	0.5368516450168705	0.8780487804878049	0.8780487804878047	0.9659483
10	ob sobotah in nedeljah, 2., 3., 9., 10., 16. in 17. aprila , bodo avtobusi vozili med postajama Kranj in Jesenice namesto potniških vlakov št. 2418 in 2404, ki odpeljeta iz Kranja ob 10.15 in 13.21 ter namesto potniških vlakov št. 2493 in 2409, ki odpeljeta z Jesenic ob 7.52 in 14.18, med postajama Kranj in Beljak (Villach) bodo avtobusi vozili namesto mednarodnih vlakov št. 314, 212 in 310, ki odpeljejo iz Kranja ob 7.50, 9.34 in 11.48 ter namesto mednarodnih vlakov št. 313 in 311, ki odpeljeta iz Beljaka ob 10.52 in 15.12;	Ob sobotah in nedeljah, 2., 3., 9., 10., 16. in 17. aprila bodo avtobusi vozili med postajama Kranj in Jesenice namesto potniških vlakov 2418 in 2404, ki vozijo iz Kranja ob 10.15 in 13.21 ter namesto potniških vlakov 2493 in 2409, ki vozijo z Jesenic ob 7.52 in 14.18, med postajama Kranj in Beljak (Villach) bodo avtobusi vozili namesto mednarodnih vlakov 314, 212 in 310, ki vozijo iz Kranja ob 7.50, 9.34 in 11.48 ter namesto mednarodnih vlakov 313 in 311, ki vozijo iz Beljaka ob 10.52 in 15.12;	0.6158125660811473	0.9411764705882353	0.7096133455903264	0.93387187
11	Opera Slovenskega narodnega gledališča Maribor bo v petek, 11. marca, premierno uprizorila opero Giuseppeja Verdija Moč usode (La forza del destino) v režiji Piera Francesca Maestrinija in pod taktirko Marca Boemija. V glavnih vlogah bodo nastopili bodo Valentin Pivovarov, Irene Ratiani k. g., Jasmina Trumbetaš k. g., Valentin Enčev, Marjan Jovanoski k. g., Renzo Zulian, [...]	Opera Slovenskega narodnega gledališča Maribor bo v petek, 11. marca, premierno uprizorila opero Giuseppeja Verdija Moč usode (La forza del destino) v režiji Piera Francesca Maestrinija in pod vodstvom Marca Boemija. V glavnih vlogah bodo nastopili Valentin Pivovarov, Irene Ratiani k. g., Jasmina Trumbetaš k. g., Valentin Enčev, Marjan Jovanoski k. g., Renzo Zulian,	0.5624556291611115	0.9739130434782608	0.3866963091640995	0.9657726
12	"Slavko Grum (1901–1949) se je po študiju medicine na Dunaju zaposlil v bolnišnici za duševne bolnike. Stik s praktično psihopatologijo, ko je vsak dan ""strmel v oči, zamaknjene v tuje svetove"", in ljubezensko razočaranje sta še povečala njegovo izredno občutljivost, nagnjenost k melanholiji in depresijam."	"Slavko Grum (1901-1949) se je po študiju medicine na Dunaju zaposlil v bolnišnici za duševne bolnike. Stik s praktično psihopatologijo, ko je vsak dan ""strmel v oči, zamaknjene v tuje svetove "", in ljubezensko razočaranje je še povečalo njegovo izjemno občutljivost, nagnjenost k melanholiji in depresiji."	0.5420930721178776	0.9245283018867925	0.8090728934160176	0.97906786
13	Drama Slovenskega narodnega gledališča Maribor bo v soboto, 19. marca 2011, v Stari dvorani premierno uprizorila dramo Slavka Gruma/Sebastijana Horvata Goga, čudovito mesto v režiji Sebastijana Horvata. Igrajo Milada Kalezić, Irena Varga, Irena Mihelič, Nataša Matjašec Rošker, Mateja Pucko, Ališa Kasjak Gutman k. g., Vladimir Vlaškalić, Kristijan Ostanek, Miloš Battelino, Davor Herga, Nejc Ropret in Branko Jordan.	Drama Slovenskega narodnega gledališča Maribor bo v soboto, 19. marca 2011, v Stari dvorani premierno uprizorila dramo Slavka Gruma / Sebastijana Horvata Goga, čudovito mesto v režiji Sebastijana Horvata. Igrajo Milada Kalezić, Irena Varga, Irena Mihelič, Nataša Matjašec Rošker, Mateja Pucko, Ališa Kasjak Gutman k. g., Vladimir Vlaškalić, Kristijan Ostanek Miloš Battelino, Davor Herga, Nejc Ropret in Branko Jordan.	0.5079573108085769	1.0	0.0	0.9941159
14	Grieg ni bil popolnoma zadovoljen s to kompozicijo, a je danes kljub temu trdno zasidrana v čelističnem repertoarju. Prvi stavek Allegro agitato je razpet med liričnostjo in virtuozno energičnostjo, Andante je osnovan na tematskem materialu Griegove orkestrske suite Sigurd Jorsalfar (1872). Iz nežne melodije se v srednjem delu zbudi videz viharne nevihte, ki pa se s ponovitvijo teme vrne v mirno zatišje. V tretjem stavku Finale slišimo živahen ples, ki s svojo ljudsko obarvanostjo, močjo in zanosom spominja na Griegove Lirične skladbe za klavir.	Grieg ni bil popolnoma zadovoljen s to kompozicijo, vendar je danes trdno zasidrana v čelističnem repertoarju. Prvi stavek Allegro agitato je razpet med liričnostjo in virtuozno energijo, Andante pa temelji na tematskem materialu Griegove orkestrske suite Sigurd Jorsalfar (1872). Iz nežne melodije se v srednjem delu prebudi videz viharne nevihte, ki se s ponovitvijo teme vrne v mirno tišino. V tretjem stavku Finale slišimo živahen ples, ki s svojo ljudsko obarvanostjo, močjo in zanosom spominja na Griegove Lirične skladbe za klavir.	0.5930801431595553	0.8999999999999999	0.892418783896676	0.9495748
15	/…/ Položaj likov v brezdušno uglajenih kostumih Petre Alič ni naiven, so ujetniki klišejev in se tega zavedajo. Medea Novak niansira stopnje prepadenosti, skozi katere gre pasivno-aktivna Grace, tako da ji je specifična togost v prednost, prav tako igra luči, ki poudarja njeno figuro, ko prestopa iz abstrahiranega okvirja, scenske opne med dovoljenim in prepovedanim, ter nazaj. Za vlogo Henrija, ki je glasovno in gibalno le približek rohnečega samca, je kot ulit Miha Nemec , ki je že ob prihodu na oder ves okoren in medel. Jenny Maje Nemec je v navzočnosti močna in nevarna, odsekano uperjena v cilj, vzpon po službeni lestvici; tudi z izdajo, zlorabo in brez zadržkov. Mira Lampe Vujičić je na teorijo racionalne izbire privezana mati Jocelyne, ki rešuje položaj odsotnega očeta. Premočrtno in z zabodenim pogledom ujame vpetost v službo in vsakdanje banalije sestre Anne Vesna Vončina .	Položaj likov v brezdušno uglajenih kostumih Petre Alič ni naiven, so ujetniki klišejev in se tega zavedajo. Medea Novak niansira stopnje prepadenosti, skozi katere gre pasivno-aktivna Grace, tako da ji je specifična togost v prednost, prav tako igra luči, ki poudarja njeno figuro, ko prečka iz abstraktnega okvirja, scenske opne med dovoljenim in prepovedanim, in nazaj. Za vlogo Henrija, ki je glasovno in gibalno le približek rohnečega samca, je kot ulit Miha Nemec, ki je že ob prihodu na oder ves okoren in medel. Jenny Maje Nemec je v prisotnosti močan in nevaren, usmerjen v cilj, vzpon po službeni lestvici; tudi z izdajo, zlorabo in brez zadržkov. Mira Lampe Vujičić je privezana na teorijo racionalne izbire, ki rešuje položaj odsotnega očeta.	0.7865453877452842	0.8648648648648649	0.8783783783768734	0.90298593
