	inputs	outputs	ParaScore	ROUGE	ROUGEp	BERTScore
0	Torek, 29. 3. 2011, ob 15.00 uri Državni svet RS, Šubičeva 4, soba 209/II, Ljubljana 44. SEJA KOMISIJE DS ZA GOSPODARSTVO, OBRT, TURIZEM IN FINANCE Predsednik računskega sodišča dr. Igor Šoltes se bo udeležil seje Komisije, na kateri bodo člani obravnavali Letno poročilo Računskega sodišča RS za leto ...	 Torek, 29. 3. 2011, ob 15.00 čas v lasti države od boga poslan RS, Šubičeva 4, celica 209 / II, Ljubljana 44. zasedanje svet DS ZA ekonomija, rokodelstvo, TURIZEM IN denarna sredstva predsedujoči aritmetičen sodna palača dr. Igor Šoltes se bo udeležil konferenca odbor, na kateri bodo pripadnik spregovoriti o enoleten zapisnik aritmetičen razsodišče RS za letnik...	0.8643489360809327	0.5365853658536585	0.44728679694995516	0.68934894
1	Računsko sodišče RS in Mestna občina Celje prirejata regijski posvet z župani občin, direktorji občinskih uprav, oziroma pristojnimi za področje financ v občinah celjske regije. Posvet je namenjen izmenjavi mnenj, stališč in vprašanj, povezanih z razpolaganjem z javnimi financami v občinah. Posvet bo ...	 aritmetičen tribunal RS in urban magistrat Celje prirejata regijski konzultacija z predsednik mestnega sveta mestna hiša, šef komunalen sedež, oziroma vljuden za pokrajina denarna sredstva v magistrat celjske območje. razprava je odmerjen menjava pogled, mišljenje in zagonetka, soroden z razpolaganjem z skupen finančna sredstva v magistrat. posvetovanje tvoriti...	0.6890577554702759	0.3047619047619048	0.2794849560699887	0.51405776
2	Računsko sodišče je o pravilnosti poslovanja v letu 2009 zavodu izreklo mnenje s pridržkom , ker je ugotovilo, da zavod ni posloval v skladu s predpisi o javnem naročanju pri oddaji javnih naročil za letalske prevoze in nastanitvene aranžmaje ter za nadgradnjo procesorja in diskovnih enot v skupnem znesku 1.328.602 evrov.	 aritmetičen tribunal je o točnost trgovanje v letnik 2009 institucija izgovoriti ocena s opomin, ker je presoditi, da institucija ni posloval v skladnost s verski zakon o javnega značaja naročanju pri šov občinski nakupni nalog za aeronavtičen vožnja in bivalen počitniški paket ter za razširitev procesorja in diskovnih entiteta v združen vsota 1.328.602 euro.	0.8290845036506653	0.432	0.382864925174613	0.6540845
3	Računsko sodišče je zavodu priporočilo, naj skupaj z ostalimi partnerji pristopi k aktivnostim za določitev standardne cene vsaj najpogostejših in najdražjih bolnišničnih obravnav ter drugih pomembnejših zdravstvenih storitev, kar bo dalo realnejša izhodišča za določitev višine uteži in cen posameznih skupin primerljivih primerov in stroškovnih cen drugih zdravstvenih storitev, in naj skupaj z Ministrstvom za zdravje prouči možnosti za spremembo obstoječe pravne ureditve glede pooblastil zavoda za pridobivanje podatkov, potrebnih za vzpostavitev take podatkovne baze o posameznih bolnišničnih obravnavah, ki bo omogočila izvajanje nadzora nad evidentiranjem in obračunavanjem skupin primerljivih primerov v večjem obsegu.	 aritmetičen tribunal je dom oglaševati, naj skupaj z preostal ljubček stopiti k dejavnost za natančna opredelitev tipičen vrednost vsaj razširjen in bleščeč bolnišničnih obravnavanje ter drugačen uspešen terapevtski zagrešitev, kar bo milostno podeliti praktičen podstava za ugotovitev velikost svinec in tarifa osamljen serija podoben zadeva in stroškovnih tarifa druga terapevtski zakrivitev, in naj skupaj z sektor za dobro počutje ponovno pregledati možnosti za razvoj eksistenten zakonit razpored glede potrdilo institucija za proizvodnja informacija, nujen za uveljavitev take podatkovne bazni tabor o osamljen bolnišničnih obravnavanje, ki bo aktivirati opravljanje čuvanje nad registracija in računovodstvo razred podoben zadeva v močen razsežnost.	0.7105947613716126	0.3459915611814346	0.3562317129210708	0.53559476
4	Storitev Si.mail je v preizkusnem obdobju (beta različica), zato vas v primeru morebitnih napak, prosimo da jih sporočite v naš klicni center na brezplačno številko 080 40 40 40 .	 zagrešitev Si.mail valjati se v poskusen razdobje ( beta inačica ), zato vas v zgled možen nerodnost, zavzeti se da jih razglasiti v naš nagovoren sredinski igralec na gratis izvod 080 40 40 40.	0.763102400302887	0.49275362318840576	0.450599475694147	0.5881024
5	Nokia E7 s prednaloženo storitvijo Microsoft Exchange ActiveSync zagotavlja neposreden, takojšen in varen dostop do korporativnih spletnih poštnih nabiralnikov in drugih osebnih aplikacij. Nokia E7 se lahko pohvali z 10,2-centimetrskim zaslonom na dotik z Nokia ClearBlack tehnologijo za izboljšano vidljivost v zunanjih okoljih in polno tipkovnico. Poslovnim uporabnikom tako ponuja popolno obliko in velikost za delo na dokumentih in preglednicah ter branje in urejanje fotografij. Za brezskrbno poslovanje je na voljo tudi kombinacija varnostnih rešitev na poslovni ravni.	 Nokia E7 s prednaloženo usluga Microsoft Exchange ActiveSync trditi odkrit, trenuten in nerizičen dohodna pot do korporacijski interneten nepokvarjen poštni predal in spremenjen intimen našit okrasek. Nokia E7 se lahko napisati pozitivno kritiko z 10,2 - centimetrskim ekran na kontakt z Nokia ClearBlack sestava za popravljen možnost gledanja v tuj življenjski prostor in zvonek tipkovnico. nestanovanjski porabnik tako prodajati idealen format tiska in hudost za posel na akt in finančni inšpektor ter čitanje in umivanje slika za na steno. Za lahek trgovanje funkcionirati kot na razpoloženje tudi zmes previdnosten zadnji izhod na za vodilne delavce mišičast.	0.7879323244094849	0.40837696335078527	0.35878469934662016	0.6129323
6	Sedemnajstega marca sta se v Kraljevcu ob Sotli sestala generalni direktor Slovenskih železnic Goran Brankovič in predsednik uprave Hrvaških železnic Zlatko Rogožar s sodelavci. Tema sestanka je bila ponovna uvedba železniškega prometa med obema državama na progi Imeno-Kumrovec-Savski Marof. Sestanka so se udeležili tudi župani obmejnih občin z obeh strani meje ter podpredsednik hrvaškega sabora Ivan Jarnjak .	 Sedemnajstega marca sta se v Kraljevcu ob Sotli sestala splošen menedžer Slovenskih železnic Goran Brankovič in vodja centrala Hrvaških železnic Zlatko Rogožar s kooperant. obnova zasedanje je bila ponovna vpeljava železniškega obseg prodaje med obema dežela na strija Imeno - Kumrovec - Savski Marof. zasedanje so se udeležili tudi predsednik mestnega sveta obmejnih mestna hiša z obeh list začetna točka ter podpredsednica hrvaškega sabora Ivan Jarnjak.	0.8474286037280149	0.6666666666666667	0.5395423101479934	0.7891579
7	Potem ko je bila v četrtek, 24. februarja, z brežine nad Ljubljanico dvignjena še lokomotiva, se je v sredo, 2. marca, končalo čiščenje ostankov starega železa in delov lokomotive z brežine nad reko. Za dostop do nabrežja so uredili cesto, ekološka sanacija pa se je začela v petek, 4. marca. Potekala je ves konec tedna in je bila danes končana.	 Potem ko je bila v četrtek, 24. februarja, z breg nad Ljubljanico dominanten še lokomotiva, se je v sredina, 2. marca, prenehati z čistilna operacija odrezek častitljiv železa in drobec lokomotive z nabrežje nad morje. Za vstop do breg so zrežirati ulica, zelen obnova pa se je pričeti z v petek, 4. marca. teči je ves stran tedna in je bila danes narejen.	0.8802354551878584	0.5925925925925926	0.5781056961407022	0.73197615
8	V petek, 4. marca, so gasilci Gasilske brigade Ljubljana še preverili madež, ki se je pojavil na obrežju Save. Ugotovili so, da gre za odmrle alge, in ne za naftni madež.	 V petek, 4. marca, so gasilka Gasilske brigade Ljubljana še iti skozi packa, ki se je pojavil na okolica dokov Save. dojeti so, da teči za mrtev alge, in ne za naftonosen flek.	0.7878901587560161	0.6666666666666667	0.5626217467573114	0.7322001
9	Luko Koper in Slovenske železnice povezujejo skupni trgi in stranke ter skupni poslovni izzivi. V prometu z Luko Koper Slovenske železnice opravijo 55 odstotkov prevozov oziroma prepeljejo dve tretjini vsega tovora, ki izvira iz koprskega pristanišča ali je namenjen vanj.	 pristanišče Koper in Slovenske železnice moderirati obči tržnica in stalen kupec ter deljen nestanovanjski preizkus poguma. V obtok z pristanišče Koper Slovenske železnice obleči 55 procent transport oziroma pretakniti dve del igre vsega breme, ki izhajati iz koprskega luka ali je določen vanj.	0.7463111758232117	0.4666666666666667	0.4475999872691984	0.5713112
10	ob sobotah in nedeljah, 2., 3., 9., 10., 16. in 17. aprila , bodo avtobusi vozili med postajama Kranj in Jesenice namesto potniških vlakov št. 2418 in 2404, ki odpeljeta iz Kranja ob 10.15 in 13.21 ter namesto potniških vlakov št. 2493 in 2409, ki odpeljeta z Jesenic ob 7.52 in 14.18, med postajama Kranj in Beljak (Villach) bodo avtobusi vozili namesto mednarodnih vlakov št. 314, 212 in 310, ki odpeljejo iz Kranja ob 7.50, 9.34 in 11.48 ter namesto mednarodnih vlakov št. 313 in 311, ki odpeljeta iz Beljaka ob 10.52 in 15.12;	 ob sobotah in Gospodov dan, 2., 3., 9., 10., 16. in 17. aprila, bodo omnibus peljati se med mesto postanka Kranj in Jesenice namesto potniških vlakov št. 2418 in 2404, ki potegniti iz Kranja ob 10.15 in 13.21 ter namesto potniških vlakov št. 2493 in 2409, ki odvleči z Jesenic ob 7.52 in 14.18, med postajališče Kranj in Beljak ( Villach ) bodo omnibus prevažati namesto internacionalen vlakov št. 314, 212 in 310, ki potegniti iz Kranja ob 7.50, 9.34 in 11.48 ter namesto internacionalen vlakov št. 313 in 311, ki zapeljati iz Beljaka ob 10.52 in 15.12 ;	0.7164451182194874	0.8504672897196263	0.4047885970806302	0.8661111
11	Opera Slovenskega narodnega gledališča Maribor bo v petek, 11. marca, premierno uprizorila opero Giuseppeja Verdija Moč usode (La forza del destino) v režiji Piera Francesca Maestrinija in pod taktirko Marca Boemija. V glavnih vlogah bodo nastopili bodo Valentin Pivovarov, Irene Ratiani k. g., Jasmina Trumbetaš k. g., Valentin Enčev, Marjan Jovanoski k. g., Renzo Zulian, [...]	 operna hiša Slovenskega ljudski teater Maribor bo v petek, 11. marca, premierno izvesti operna hiša Giuseppeja Verdija prepričljivost sreča ( La forza razdelek destino ) v režiji Piera Francesca Maestrinija in pod dirigentska palica Marca Boemija. V zelo obiskan položaj bodo igrati v jam sessionu bodo Valentin Pivovarov, Irene Ratiani k. g., Jasmina Trumbetaš k. g., Valentin Enčev, Marjan Jovanoski k. g., Renzo Zulian, [... ]	0.844559477650842	0.7086614173228347	0.5163975714985103	0.8422339
12	"Slavko Grum (1901–1949) se je po študiju medicine na Dunaju zaposlil v bolnišnici za duševne bolnike. Stik s praktično psihopatologijo, ko je vsak dan ""strmel v oči, zamaknjene v tuje svetove"", in ljubezensko razočaranje sta še povečala njegovo izredno občutljivost, nagnjenost k melanholiji in depresijam."	" Slavko Grum ( 1901 – 1949 ) se je po učenje medicinska veda na Dunaju zasesti v bolnica za duhoven pacient. povezava s trezen obravnava duševnih motenj, ko je vsak dnevna svetloba"" buljiti v očka, ves prevzet v zunanji zbor"", in erotičen antiklimaks sta še stopnjevati njegovo osupljiv kočljivost, dispozicija k spleen in gospodarski zastoj."	0.8023306012153626	0.43636363636363634	0.40409527756309566	0.6273306
13	Drama Slovenskega narodnega gledališča Maribor bo v soboto, 19. marca 2011, v Stari dvorani premierno uprizorila dramo Slavka Gruma/Sebastijana Horvata Goga, čudovito mesto v režiji Sebastijana Horvata. Igrajo Milada Kalezić, Irena Varga, Irena Mihelič, Nataša Matjašec Rošker, Mateja Pucko, Ališa Kasjak Gutman k. g., Vladimir Vlaškalić, Kristijan Ostanek, Miloš Battelino, Davor Herga, Nejc Ropret in Branko Jordan.	 dramatika Slovenskega ljudski gledališka hiša Maribor bo v soboto, 19. marca 2011, v zarjavel hala premierno izvesti dramatika Slavka Gruma / Sebastijana Horvata Goga, kolosalen trg v režiji Sebastijana Horvata. brenkati Milada Kalezić, Irena Varga, Irena Mihelič, Nataša Matjašec Rošker, Mateja Pucko, Ališa Kasjak Gutman k. g., Vladimir Vlaškalić, Kristijan Ostanek, Miloš Battelino, Davor Herga, Nejc Ropret in Branko Jordan.	0.663659590286213	0.8484848484848485	0.4166326017119107	0.8669563
