Zemlja pa je bila pusta in prazna, tema se je razprostirala nad globinami in duh Božji  je vel nad vodami.	Sedaj je bila zemlja brezoblična in prazna, na površju brezna je bila tema, nad površjem voda je lebdel Božji Duh.
Bog je videl, da je svetloba dobra. In Bog je ločil svetlobo od teme.	bog je videl svetlobo, videl je, da je dobra in ločil je svetlobo od teme.
In Bog je svetlobo imenoval dan, temo pa je imenoval noč. In bil je večer in bilo je jutro, prvi dan.	bog je svetlobo imenoval dan, temo pa noč. bil je večer in bilo je jutro, nekega dne.
"Bog je rekel: ""Bodi obok sredi vodá in naj loči vode od vodá!"""	"bog je rekel: ""v sredini voda naj bo prostranstvo, ki bo ločilo vode od voda."""
In Bog je naredil obok in ločil vode, ki so bile pod obokom, od vodá nad obokom. Zgodilo se je tako.	Bog je prostranstvo, in razdeljen vode, ki so bile pod prostranstva od voda, ki so bili nad prostranstva, in to je bilo tako.
Bog je obok imenoval nebo.  In bil je večer in bilo je jutro, drugi dan.	bog je nebo imenoval prostrano, in bil je večer in bilo je jutro, drugi dan.
"Bog je rekel: ""Vode pod nebom naj se zberejo na en kraj in prikaže naj se kopno!"" Zgodilo se je tako."	"bog je rekel: ""naj se vode pod nebom zberejo na enem mestu in naj se pojavi suha zemlja."" in bilo je tako."
Bog je kopno imenoval zemljo, zbrane vode pa je imenoval morje. Bog je videl, da je dobro.	bog je kopno imenoval zemlja, zbiranje voda pa morje, in Bog je videl, da je to dobro.
"Nato je Bog rekel: ""Zemlja naj požene zelenje, rastlinje, ki daje seme, in drevje, ki na zemlji rodi sadje s semenom po svoji vrsti!"" Zgodilo se je tako."	"Bog je rekel: ""Zemlja naj rodi travo, zelišča, ki prinašajo seme, in sadna drevesa, ki prinašajo sadje po svojem plemenu, s semenom v njem, na zemlji "", in bilo je tako."
Zemlja je pognala zelenje, rastlinje, ki daje seme, in drevje, ki rodi na zemlji sadje s semenom po svoji vrsti. Bog je videl, da je dobro.	Zemlja je rodila travo, zelišča, ki so prinašala seme po svojem plemenu, in drevesa, ki so prinašala sadje, z njegovim semenom v njem, po svojih vrstah; in Bog je videl, da je
In bil je večer in bilo je jutro, tretji dan.	Bil je večer in bilo je jutro, tretji dan.
"Bog je rekel: ""Naj bodo luči na nebesnem oboku! Ločujejo naj dan od noči in naj bodo znamenja za čase, dneve in leta!"	"Bog je rekel, ""Naj bodo luči v prostranosti neba razdeliti dan od noči; in naj bodo za znake, in za sezonah, in za dneve in leta;"
"Naj svetijo na nebesnem oboku in razsvetljujejo zemljo!"" Zgodilo se je tako."	"in naj bodo za luči na prostranstvu neba, da svetlobo na zemlji, ""in to je bilo tako."
Bog je naredil dve veliki luči: večjo luč, ki naj gospoduje dnevu, in manjšo luč, ki naj gospoduje noči, ter zvezde.	Bog je naredil dve veliki luči, večjo luč, ki naj gospoduje dnevu, in manjšo luč, ki naj gospoduje noči, in tudi zvezde.
Bog jih je postavil na nebesni obok, da bi razsvetljevale zemljo.	bog jih je postavil na prostrano nebo, da razsvetlijo zemljo,
Gospodovale naj bi dnevu in noči in ločevale svetlobo od teme. Bog je videl, da je dobro.	da bi vladal dnevu in noči, da bi ločil svetlobo od teme in da je Bog videl, da je dobro.
In bil je večer in bilo je jutro, četrti dan.	Bil je večer in bilo je jutro, četrti dan.
